id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bains,url_annonce
56985848,Marrakech,2499988.4,200.0,Massira 3,Maison,10,4,https://www.avito.ma/fr/massira_3/maisons/maison_%C3%A0_vendre_massira_3_56985848.htm
56985252,Tanger,1899955.2,400.0,Drissia,Maison,6,2,https://www.avito.ma/fr/drissia/maisons/maison_drissia_56985252.htm
56985001,Tanger,599853.3,70.0,Ziatene,Maison,1,1,https://www.avito.ma/fr/ziatene/maisons/Maison_%C3%A0_vendre_dans_le_quartier_des_Zayatin_56985001.htm
56983923,Casablanca,359840.0,61.0,Ain Sebaa,Maison,2,1,https://www.avito.ma/fr/ain_sebaa/maisons/Maison_%C3%A0_vendre_dans_le_quartier_Mohamed_56983923.htm
56983744,Rabat,5000156.7,170.0,Yacoub El Mansour,Maison,12,5,https://www.avito.ma/fr/yacoub_el_mansour/maisons/Maison_hay_elmenzeh_%C3%A0_vendre_56983744.htm
56983594,Tanger,3100021.6,93.0,Val Fleuri,Maison,10,4,https://www.avito.ma/fr/val_fleuri/maisons/Maison_%C3%A0_vendre_en_plein_centre_ville_56983594.htm
56983556,Casablanca,2499988.4,252.0,Laimoune,Villa,7,2,https://www.avito.ma/fr/laimoune/maisons/duplex_%C3%A0_vendre_56983556.htm
55573605,Casablanca,2999986.1,120.0,Sidi Maarouf,Maison,4,1,https://www.avito.ma/fr/sidi_maarouf/maisons/Maison_120m_%C3%A0_vendre_%C3%A0_Sidi_Maarouf__55573605.htm
56981717,Casablanca,419933.3,51.0,Al Fida,Maison,6,2,https://www.avito.ma/fr/al_fida/maisons/Maison_51_%C3%A0_vendre_%C3%A0_Derb_Sultan__enregistr%C3%A9e_et_conserv%C3%A9e_56981717.htm
56986118,Tanger,21230.6,100.0,Benkirane,Maison,3,1,https://www.avito.ma/fr/benkirane/maisons/Maison_%C3%A0_vendre_56986118.htm
56112687,Marrakech,14500652.4,94.0,Route de Fès,Maison,6,2,https://www.avito.ma/fr/route_de_f%C3%A8s/maisons/Vente_d_un_projet_complet_de_7_Maisons_%C3%A0_Marrakech_56112687.htm
56980215,Casablanca,1799919.7,100.0,Aïn Chock,Maison,3,1,https://www.avito.ma/fr/a%C3%AFn_chock/maisons/Demi_maison_%C3%A0_vendre_dans_le_quartier_Moulay_Abdallah__Ain_Chock_56980215.htm
56980064,Marrakech,2499988.4,81.0,Assouel,Villa,5,1,https://www.avito.ma/fr/assouel/maisons/Petite_maison_Riad_56980064.htm
56979941,Marrakech,2600023.9,118.0,Route de Casablanca,Maison,5,1,https://www.avito.ma/fr/route_de_casablanca/maisons/Maison_%C3%A0_vendre_56979941.htm
55468335,Casablanca,1600028.6,61.0,Al Fida,Maison,7,2,https://www.avito.ma/fr/al_fida/maisons/_maison_familiale_55468335.htm
56978764,Marrakech,1799919.7,110.0,Sidi Youssef Ben Ali,Maison,6,2,https://www.avito.ma/fr/sidi_youssef_ben_ali/maisons/maison_%C3%A0_vendre_56978764.htm
56535857,Casablanca,2600023.9,20.0,Hay Mohammadi,Maison,11,4,https://www.avito.ma/fr/hay_mohammadi/maisons/Belle_maison_familiale_R3_%C3%A0_vendre_56535857.htm
56977450,Casablanca,1949973.0,1114.4549763033176,Al Fida,Maison,6,2,https://www.avito.ma/fr/al_fida/maisons/Maison_%C3%A0_vendre_dans_le_quartier_de_l_espoir_71_m%C3%A8tres_carr%C3%A9s_56977450.htm
56977377,Tanger,679917.7,70.0,Beni Said,Maison,5,1,https://www.avito.ma/fr/beni_said/maisons/Maison_%C3%A0_vendre__Tanger__Kzenaya_56977377.htm
56977050,Casablanca,449979.9,1114.4549763033176,Hay Mohammadi,Maison,3,1,https://www.avito.ma/fr/hay_mohammadi/maisons/Maison_ensoleill%C3%A9e_%C3%A0_vendre_dans_le_quartier_Mohammed___Casablanca_56977050.htm
56976953,Marrakech,399962.2,60.0,Route de Ouarzazate,Maison,6,2,https://www.avito.ma/fr/route_de_ouarzazate/maisons/Kzoula_Sidi_Mbarek_Oued_A%C3%AFden_Marrakech_56976953.htm
56944034,Marrakech,2600023.9,90.0,M'Hamid,Maison,7,2,https://www.avito.ma/fr/m_hamid/maisons/Maison_meubl%C3%A9e_avec_jardin_%C3%A0_vendre_56944034.htm
56974170,Marrakech,1700064.1,300.0,M'Hamid,Maison,13,5,https://www.avito.ma/fr/m_hamid/maisons/Maison_%C3%A0_vendre__prix_n%C3%A9gociable__56974170.htm
56974157,Casablanca,12000484.1,97.0,Sidi Bernoussi,Maison,6,2,https://www.avito.ma/fr/sidi_bernoussi/maisons/oui_avec_titre_56974157.htm
56973715,Casablanca,4600194.6,220.0,Californie,Maison,4,1,https://www.avito.ma/fr/californie/maisons/MAISON_NEUVE_%C3%A0_bd_HAIFA___jnane_Californie_56973715.htm
56973021,Marrakech,1679913.0,120.0,M'Hamid,Maison,11,4,https://www.avito.ma/fr/m_hamid/maisons/Maison_%C3%A0_vendre_%C3%A0_Mahamid_Bougar_Chouka_Titre_56973021.htm
56972981,Marrakech,1779948.6,138.0,Hay Massira,Maison,11,4,https://www.avito.ma/fr/hay_massira/maisons/Maison_%C3%A0_vendre_56972981.htm
56972289,Rabat,989919.8,44.0,Yacoub El Mansour,Maison,5,1,https://www.avito.ma/fr/yacoub_el_mansour/maisons/Maison_%C3%A0_vendre_%C3%A0_hay_rjafllah_56972289.htm
56970697,Marrakech,489922.2,106.0,Ain Mezouar,Maison,6,2,https://www.avito.ma/fr/ain_mezouar/maisons/Douar_Arib_Marrakech_56970697.htm
56970004,Rabat,969948.7,180.0,Yacoub El Mansour,Maison,5,1,https://www.avito.ma/fr/yacoub_el_mansour/maisons/Maison_titr%C3%A9e_%C3%A0_vendre_56970004.htm
56968582,Marrakech,6000152.1,200.0,Bab Doukkala,Maison,8,3,https://www.avito.ma/fr/bab_doukkala/maisons/Maison_titr%C3%A9e_au_centre_de_la_m%C3%A9dina_Bab_Doukkala_56968582.htm
56968359,Marrakech,2050008.5,100.0,M'Hamid,Maison,4,1,https://www.avito.ma/fr/m_hamid/maisons/Maison_%C3%A0_vendre_mhamid_56968359.htm
56967619,Casablanca,999995.4,165.0,Al Fida,Maison,5,1,https://www.avito.ma/fr/al_fida/maisons/vendre_une_maison_56967619.htm
56967258,Tanger,329973.3,260.0,Autre secteur,Maison,4,1,https://www.avito.ma/fr/autre_secteur/maisons/Maison_%C3%A0_vendre_56967258.htm
56962539,Casablanca,899959.8,100.0,Oulfa,Maison,6,2,https://www.avito.ma/fr/oulfa/maisons/%D9%85%D9%86%D8%B2%D9%84_%D9%84%D8%A8%D9%8A%D8%B9_%D8%A8%D9%85%D9%86%D8%B7%D9%82%D8%A9_%D9%88%D9%84%D9%81%D8%A9_%D9%8A%D8%AD%D8%AA%D9%88%D9%8A_%D8%B9%D9%84%D9%89_%D8%B7%D8%A8%D9%82%D9%8A%D9%86_99_56962539.htm
56959950,Casablanca,1750081.8,161.0,Ain Sebaa,Maison,3,1,https://www.avito.ma/fr/ain_sebaa/maisons/construction_56959950.htm
