id,ville,prix,surface,quartier,type_bien,nb_chambres,nb_salle_de_bain,url_annonce
881,Marrakech,11000.0,95.0,Guéliz,Appartement,1,2,https://www.mubawab.ma/fr/a/8284944/appartement-de-haute-standing-pour-la-location-longue-dur%C3%A9e-enti%C3%A8rement-refaite
882,Tanger,3300.0,65.0,Boukhalef,Appartement,2,1,https://www.mubawab.ma/fr/a/7235116/nouveau-appartement-meubler-a-aswak-salam
883,Tanger,3200.0,50.0,Marjane,Appartement,1,1,https://www.mubawab.ma/fr/a/7991487/nouveau-appartement-meubl%C3%A9-avec-wifi
884,Tanger,9000.0,80.0,Tanja Balia,Appartement,2,1,https://www.mubawab.ma/fr/a/8287416/appartement-de-luxe-a-louer-longue-dur%C3%A9e-%C3%A0-tanger
887,Tanger,15000.0,110.0,Sania,Appartement,3,2,https://www.mubawab.ma/fr/a/8099916/appartement-en-location-%C3%A0-sania-3-belles-chambres-meubl%C3%A9
888,Casablanca,6500.0,54.0,Californie,Appartement,1,1,https://www.mubawab.ma/fr/a/8277781/studio-en-location-sur-californie
889,Rabat,23500.0,165.0,Souissi,Appartement,3,2,https://www.mubawab.ma/fr/a/8187651/3ch-salon-de-165m-%C3%A0-l-orangeraie-souissi
898,Marrakech,7000.0,73.0,Samlalia,Appartement,2,1,https://www.mubawab.ma/fr/a/8264903/appartement-moderne-%C3%A0-louer-sur-semlalia
899,Rabat,30000.0,280.0,Riyad,Villa,3,4,https://www.mubawab.ma/fr/a/8278664/tr%C3%A8s-belle-villa-%C3%A0-louer
900,Casablanca,23000.0,221.0,Ain Diab,Appartement,3,3,https://www.mubawab.ma/fr/a/8278850/appartement-rare-%C3%A0-la-location-id%C3%A9al-pour-un-cadre-de-vie-confortable-et-moderne-%C3%A0-8min-du-morocco-mall
901,Casablanca,8000.0,100.0,Californie,Appartement,2,2,https://www.mubawab.ma/fr/a/8268800/appartement-au-coeur-du-quartier-californie
902,Casablanca,17500.0,125.0,Bourgogne Ouest,Appartement,2,1,https://www.mubawab.ma/fr/a/8278528/superbe-appartement-%C3%A0-louer-%C3%A0-bourgogne-ouest-2-chambres-bien-meubl%C3%A9
903,Casablanca,30000.0,680.0,CIL (Hay Salam),Maison,6,2,https://www.mubawab.ma/fr/a/8260702/superbe-villa-vide-%C3%A0-louer-cil
904,Casablanca,9500.0,85.0,Casablanca Finance City,Appartement,1,2,https://www.mubawab.ma/fr/a/8268811/superbe-studio-neuf-avec-grande-terrasse-cfc
905,Casablanca,23000.0,145.0,Ain Diab,Appartement,2,3,https://www.mubawab.ma/fr/a/8277648/appartement-meubl%C3%A9-de-deux-chambres-%C3%A0-ain-diab
906,Rabat,14000.0,124.0,Riyad,Appartement,3,2,https://www.mubawab.ma/fr/a/8286841/appartement-3-ch-%C3%A0-louer-%C3%A0-prestigia
907,Rabat,18000.0,127.0,Souissi,Appartement,2,2,https://www.mubawab.ma/fr/a/8085096/appartement-2ch-salon-jamais-habit%C3%A9-en-rdc-%C3%A0-souissi
908,Rabat,26500.0,131.0,Souissi,Appartement,2,2,https://www.mubawab.ma/fr/a/8138226/appartement-meubl%C3%A9-2ch-salon-%C3%A0-souissi
909,Rabat,12700.0,61.0,Agdal,Appartement,1,1,https://www.mubawab.ma/fr/a/8175589/1-chambre-salon-meubl%C3%A9-sur-les-perles-de-l-agdal
910,Rabat,16500.0,72.0,Souissi,Appartement,1,1,https://www.mubawab.ma/fr/a/8251876/appartement-1ch-salon-%C3%A9l%C3%A9gammen-meubl%C3%A9-%C3%A0-souissi
911,Rabat,15000.0,160.0,Agdal,Appartement,3,2,https://www.mubawab.ma/fr/a/8085133/appartement-haut-standing-aux-perles-d%E2%80%99agdal
912,Rabat,26000.0,225.0,Souissi,Appartement,3,2,https://www.mubawab.ma/fr/a/8184641/3-chambres-salon-meubl%C3%A9-a-la-location-a-souissi
